Infinitive,Partizip II,Hilfsverb
nivellieren,nivelliert,haben
sekkieren,sekkiert,haben
konservieren,konserviert,haben
frequentieren,frequentiert,haben
irritieren,irritiert,haben
blättern,geblättert,haben
übertragen,übertragen,haben
versalzen,versalzen,haben
bellen,gebellt,haben
abästen,abgeästet,haben
purgieren,purgiert,haben
detachieren,detachiert,haben
niesen,geniest,haben
herbringen,hergebracht,haben
verspüren,verspürt,haben
leeren,geleert,haben
rüsten,gerüstet,haben
rücken,gerückt,haben
konfligieren,konfligiert,haben
verifizieren,verifiziert,haben
pofen,gepoft,haben
pissen,gepisst,haben
pinkeln,gepinkelt,haben
fechten,gefochten,haben
attrahieren,attrahiert,haben
eruieren,eruiert,haben
addieren,addiert,haben
behaupten,behauptet,haben
zwingen,gezwungen,haben
diskreditieren,diskreditiert,haben
messen,gemessen,haben
verzapfen,verzapft,haben
rumhuren,rumgehurt,haben
indossieren,indossiert,haben
robben,gerobbt,sein
anziehen,angezogen,haben
kucken,gekuckt,haben
verunglimpfen,verunglimpft,haben
erniedrigen,erniedrigt,haben
fringsen,gefringst,haben
faulenzen,gefaulenzt,haben
tanzen,getanzt,haben
glauben,geglaubt,haben
mögen,gemocht,haben
segeln,gesegelt,haben
gleiten,geglitten,sein
schweben,geschwebt,sein
ankreuzen,angekreuzt,haben
ausstrahlen,ausgestrahlt,haben
speichern,gespeichert,haben
umarmen,umarmt,haben
betrachten,betrachtet,haben
formen,geformt,haben
holen,geholt,haben
atmen,geatmet,haben
striegeln,gestriegelt,haben
fühlen,gefühlt,haben
rennen,gerannt,sein
schwimmen,geschwommen,sein
evakuieren,evakuiert,haben
schnökern,geschnökert,haben
erkundigen,erkundigt,haben
schlürfen,geschlürft,haben
schlurfen,geschlurft,sein
erkobern,erkobert,haben
ankommen,angekommen,sein
laden,geladen,haben
rügen,gerügt,haben
wachsen,gewachsen,sein
waschen,gewaschen,haben
baden,gebadet,haben
allokieren,allokiert,haben
regnen,geregnet,haben
hageln,gehagelt,haben
betreffen,betroffen,haben
disponieren,disponiert,haben
surfen,gesurft,haben
reiben,gerieben,haben
tauchen,getaucht,sein
schlickern,geschlickert,haben
validieren,validiert,haben
falsifizieren,falsifiziert,haben
springen,gesprungen,sein
prüfen,geprüft,haben
testen,getestet,haben
überprüfen,überprüft,haben
abwracken,abgewrackt,haben
umbrechen,umgebrochen,haben
kapitalisieren,kapitalisiert,haben
fretten,gefrettet,haben
kauen,gekaut,haben
mähen,gemäht,haben
blaken,geblakt,haben
unterfertigen,unterfertigt,haben
fluchen,geflucht,haben
überdenken,überdacht,haben
merken,gemerkt,haben
werden,geworden,sein
abbauen,abgebaut,haben
abbestellen,abbestellt,haben
erlegen,erlegt,haben
wichsen,gewichst,haben
masturbieren,masturbiert,haben
abasten,abgeastet,haben
abbiegen,abgebogen,haben
abbilden,abgebildet,haben
abbinden,abgebunden,haben
abblenden,abgeblendet,haben
abblitzen,abgeblitzt,sein
abblättern,abgeblättert,sein
abbröckeln,abgebröckelt,haben
abbröseln,abgebröselt,haben
abbrennen,abgebrannt,haben
abbringen,abgebracht,haben
schmulen,geschmult,haben
kiebitzen,gekiebitzt,haben
abbuchen,abgebucht,haben
abchecken,abgecheckt,haben
abdanken,abgedankt,haben
abdecken,abgedeckt,haben
werben,geworben,haben
saften,gesaftet,haben
notieren,notiert,haben
zwitschern,gezwitschert,haben
missachten,missachtet,haben
aussehen,ausgesehen,haben
ausschauen,ausgeschaut,haben
blaumachen,blaugemacht,haben
kondizieren,kondiziert,haben
rigolen,rigolt,haben
Vorlage:Formatvorlage (Verb),gezielt,haben
menscheln,gemenschelt,haben
zergen,gezergt,haben
hecken,geheckt,haben
zubuttern,zugebuttert,haben
buttern,gebuttert,haben
schleichen,geschlichen,sein
ausbaldowern,ausbaldowert,haben
prosperieren,prosperiert,haben
ballern,geballert,haben
sekundieren,sekundiert,haben
hudeln,gehudelt,haben
bejahen,bejaht,haben
imponieren,imponiert,haben
emanzipieren,emanzipiert,haben
konkatenieren,konkateniert,haben
herumfuhrwerken,herumgefuhrwerkt,haben
helfen,geholfen,haben
abdrehen,abgedreht,haben
aufbrezeln,aufgebrezelt,haben
sondern,gesondert,haben
abonnieren,abonniert,haben
motzen,gemotzt,haben
loggen,geloggt,haben
teilen,geteilt,haben
sicherstellen,sichergestellt,haben
kommen,gekommen,sein
schreien,geschrien,haben
keifen,gekeift,haben
keppeln,gekeppelt,haben
nörgeln,genörgelt,haben
raunzen,geraunzt,haben
meckern,gemeckert,haben
jammern,gejammert,haben
beleidigen,beleidigt,haben
verletzen,verletzt,haben
prügeln,geprügelt,haben
deklinieren,dekliniert,haben
verscheiden,verschieden,sein
rödeln,gerödelt,haben
kreischen,gekreischt,haben
brüllen,gebrüllt,haben
schaukeln,geschaukelt,haben
verweilen,verweilt,haben
stieren,gestiert,haben
stierln,gestierlt,haben
röhren,geröhrt,haben
plärren,geplärrt,haben
schwarzsehen,schwarzgesehen,haben
schauen,geschaut,haben
abschauen,abgeschaut,haben
abstrahieren,abstrahiert,haben
dampfen,gedampft,haben
replizieren,repliziert,haben
bestechen,bestochen,haben
hereingeheimnissen,hereingeheimnisst,haben
dispergieren,dispergiert,haben
aussprechen,ausgesprochen,haben
abdriften,abgedriftet,sein
peilen,gepeilt,haben
abdrucken,abgedruckt,haben
abdrücken,abgedrückt,haben
speiben,gespieben,haben
anspeiben,angespieben,haben
heizen,geheizt,haben
kümmern,gekümmert,haben
miauen,miaut,haben
tirilieren,tiriliert,haben
nehmen,genommen,haben
annehmen,angenommen,haben
tauschen,getauscht,haben
petzen,gepetzt,haben
leihen,geliehen,haben
eulanisieren,eulanisiert,haben
sausen,gesaust,haben
rauchen,geraucht,haben
öffnen,geöffnet,haben
intrigieren,intrigiert,haben
integrieren,integriert,haben
generieren,generiert,haben
mobben,gemobbt,haben
quasseln,gequasselt,haben
lukrieren,lukriert,haben
kompilieren,kompiliert,haben
kleinschreiben,kleingeschrieben,haben
schwärzen,geschwärzt,haben
anschwärzen,angeschwärzt,haben
anlegen,angelegt,haben
grillen,gegrillt,haben
angrillen,angegrillt,haben
schießen,geschossen,haben
abandonnieren,abandonniert,haben
abarbeiten,abgearbeitet,haben
maunzen,gemaunzt,haben
tranchieren,tranchiert,haben
haschieren,haschiert,haben
proklamieren,proklamiert,haben
lenzen,gelenzt,haben
passieren,passiert,haben
wiegen,gewogen,haben
wogen,gewogt,haben
salbadern,salbadert,haben
knuscheln,geknuschelt,haben
managen,gemanagt,haben
abarten,abgeartet,sein
apparieren,appariert,haben
verschießen,verschossen,haben
pasteurisieren,pasteurisiert,haben
destillieren,destilliert,haben
aufmischen,aufgemischt,haben
gerinnen,geronnen,sein
trippeln,getrippelt,sein
kotieren,kotiert,haben
wechseln,gewechselt,haben
gniedeln,gegniedelt,haben
erröten,errötet,haben
vergilben,vergilbt,sein
verbläuen,verbläut,haben
begrünen,begrünt,haben
rudern,gerudert,sein
shoppen,geshoppt,haben
navigieren,navigiert,haben
abbreviieren,abbreviiert,haben
gleichen,geglichen,haben
kieken,gekiekt,haben
kündigen,gekündigt,haben
verschwinden,verschwunden,sein
fladern,gefladert,haben
multiplizieren,multipliziert,haben
dividieren,dividiert,haben
subtrahieren,subtrahiert,haben
rechnen,gerechnet,haben
inkommodieren,inkommodiert,haben
goutieren,goutiert,haben
kreditieren,kreditiert,haben
eindringen,eingedrungen,sein
eingeben,eingegeben,haben
brauen,gebraut,haben
ehren,geehrt,haben
necken,geneckt,haben
ärgern,geärgert,haben
hinterlassen,hinterlassen,haben
stinken,gestunken,haben
eskalieren,eskaliert,haben
benötigen,benötigt,haben
bemühen,bemüht,haben
bepflanzen,bepflanzt,haben
braten,gebraten,haben
belegen,belegt,haben
schmusen,geschmust,haben
stöhnen,gestöhnt,haben
aufgeben,aufgegeben,haben
revidieren,revidiert,haben
widerfahren,widerfahren,sein
staben,gestabt,haben
schrauben,geschraubt,haben
erfinden,erfunden,haben
decken,gedeckt,haben
anwenden,angewandt,haben
abalienieren,abalieniert,haben
treten,getreten,haben
buffieren,buffiert,haben
abbuffen,abgebufft,haben
abdizieren,abdiziert,haben
erholen,erholt,haben
pokulieren,pokuliert,haben
abduzieren,abduziert,haben
brunzen,gebrunzt,haben
aberrieren,aberriert,haben
abfasen,abgefast,haben
anfasen,angefast,haben
verlieben,verliebt,haben
raten,geraten,haben
bewässern,bewässert,haben
anmachen,angemacht,haben
ästimieren,ästimiert,haben
schneien,geschneit,haben
gefrieren,gefroren,sein
einfrieren,eingefroren,sein
aberkennen,aberkannt,haben
abfahren,abgefahren,sein
fliehen,geflohen,sein
bedenken,bedacht,haben
ereignen,ereignet,haben
geschehen,geschehen,sein
screenen,gescreent,haben
schmöken,geschmökt,haben
umfahren,umfahren,haben
abchangieren,abchangiert,haben
spawnen,gespawnt,sein
benedeien,gebenedeit,haben
designen,designt,haben
furzen,gefurzt,haben
bauen,gebaut,haben
induzieren,induziert,haben
vergessen,vergessen,haben
scannen,gescannt,haben
abreisen,abgereist,sein
suckeln,gesuckelt,haben
genesen,genesen,sein
anfangen,angefangen,haben
anhalten,angehalten,haben
kotzen,gekotzt,haben
konterkarieren,konterkariert,haben
annullieren,annulliert,haben
rufen,gerufen,haben
dräuen,gedräut,haben
legen,gelegt,haben
pupen,gepupt,haben
erschleichen,erschlichen,haben
tracken,getrackt,haben
fragen,gefragt,haben
erfragen,erfragt,haben
registrieren,registriert,haben
upgraden,upgegradet,haben
befragen,befragt,haben
diffamieren,diffamiert,haben
erörtern,erörtert,haben
gähnen,gegähnt,haben
fehlschlagen,fehlgeschlagen,sein
erhalten,erhalten,haben
führen,geführt,haben
abnippeln,abgenippelt,sein
sollen,gesollt,haben
einschlafen,eingeschlafen,sein
bilden,gebildet,haben
befinden,befunden,haben
heiraten,geheiratet,haben
listen,gelistet,haben
schwinden,geschwunden,sein
prahlen,geprahlt,haben
redigieren,redigiert,haben
antworten,geantwortet,haben
bestehen,bestanden,haben
erreichen,erreicht,haben
stellen,gestellt,haben
korrumpieren,korrumpiert,haben
bedeuten,bedeutet,haben
anhören,angehört,haben
anzünden,angezündet,haben
ausruhen,ausgeruht,haben
guillotinieren,guillotiniert,haben
darstellen,dargestellt,haben
schleppen,geschleppt,haben
acheln,geachelt,haben
diversifizieren,diversifiziert,haben
enthalten,enthalten,haben
entstehen,entstanden,sein
zeigen,gezeigt,haben
gelten,gegolten,haben
dienen,gedient,haben
schwadronieren,schwadroniert,haben
bleiben,geblieben,sein
besitzen,besessen,haben
existieren,existiert,haben
dürfen,gedurft,haben
halten,gehalten,haben
unterscheiden,unterschieden,haben
erkennen,erkannt,haben
vertreten,vertreten,haben
stammen,gestammt,haben
zählen,gezählt,haben
gebrauchen,gebraucht,haben
brauchen,gebraucht,haben
bieten,geboten,haben
ermöglichen,ermöglicht,haben
entsprechen,entsprochen,haben
bezeichnen,bezeichnet,haben
ergeben,ergeben,haben
erscheinen,erschienen,sein
kommissionieren,kommissioniert,haben
verwenden,verwendet,haben
verlassen,verlassen,haben
verhindern,verhindert,haben
entwickeln,entwickelt,haben
setzen,gesetzt,haben
studieren,studiert,haben
hänseln,gehänselt,haben
nutzen,genutzt,haben
klettern,geklettert,sein
transponieren,transponiert,haben
schmunzeln,geschmunzelt,haben
erfolgen,erfolgt,sein
angeln,geangelt,haben
krepieren,krepiert,haben
kondolieren,kondoliert,haben
versuchen,versucht,haben
aufkommen,aufgekommen,sein
treffen,getroffen,haben
biegen,gebogen,haben
binden,gebunden,haben
interessieren,interessiert,haben
frickeln,gefrickelt,haben
rattern,gerattert,haben
folgen,gefolgt,sein
erzeugen,erzeugt,haben
versehen,versehen,haben
nennen,genannt,haben
auftreten,aufgetreten,sein
falten,gefaltet,haben
beenden,beendet,haben
entschließen,entschlossen,haben
stehlen,gestohlen,haben
schmuggeln,geschmuggelt,haben
werfen,geworfen,haben
gebären,geboren,haben
beschließen,beschlossen,haben
anschmieren,angeschmiert,haben
klonen,geklont,haben
überstürzen,überstürzt,haben
verlernen,verlernt,haben
mäandern,mäandert,haben
erpflegen,erpflegt,haben
pflegen,gepflegt,haben
aufwerfen,aufgeworfen,haben
meliorieren,melioriert,haben
regen,geregt,haben
schneiden,geschnitten,haben
dispensieren,dispensiert,haben
danken,gedankt,haben
spucken,gespuckt,haben
klagen,geklagt,haben
kupieren,kupiert,haben
fassen,gefasst,haben
erklären,erklärt,haben
ableiten,abgeleitet,haben
echauffieren,echauffiert,haben
brüskieren,brüskiert,haben
zwinkern,gezwinkert,haben
verdenken,verdacht,haben
klingen,geklungen,haben
losen,gelost,haben
lauschen,gelauscht,haben
toupieren,toupiert,haben
imitieren,imitiert,haben
verbluten,verblutet,sein
modifizieren,modifiziert,haben
erwachen,erwacht,sein
duckmäusern,geduckmäusert,haben
summen,gesummt,haben
rülpsen,gerülpst,haben
erkiesen,erkoren,haben
putzen,geputzt,haben
verbergen,verborgen,haben
drucken,gedruckt,haben
benutzen,benutzt,haben
casten,gecastet,haben
streicheln,gestreichelt,haben
berühren,berührt,haben
dreschen,gedroschen,haben
lächeln,gelächelt,haben
ahnden,geahndet,haben
assimilieren,assimiliert,haben
pogen,gepogt,haben
fließen,geflossen,sein
okkupieren,okkupiert,haben
lügen,gelogen,haben
musizieren,musiziert,haben
beten,gebetet,haben
heilen,geheilt,haben
treiben,getrieben,haben
kopulieren,kopuliert,haben
freuen,gefreut,haben
verschlimmbessern,verschlimmbessert,haben
müssen,gemusst,haben
schätzen,geschätzt,haben
entlassen,entlassen,haben
erneuen,erneut,haben
heißen,geheißen,haben
schweißen,geschweißt,haben
adaptieren,adaptiert,haben
abknöpfen,abgeknöpft,haben
eintreten,eingetreten,haben
sputen,gesputet,haben
versprechen,versprochen,haben
besprechen,besprochen,haben
versagen,versagt,haben
knuffen,geknufft,haben
analysieren,analysiert,haben
siegen,gesiegt,haben
anfassen,angefasst,haben
freien,gefreit,haben
anspielen,angespielt,haben
einstellen,eingestellt,haben
dilatieren,dilatiert,haben
heben,gehoben,haben
boykottieren,boykottiert,haben
verwinden,verwunden,haben
patentieren,patentiert,haben
köpfen,geköpft,haben
abnutzen,abgenutzt,haben
exekutieren,exekutiert,haben
parametrisieren,parametrisiert,haben
karikieren,karikiert,haben
seufzen,geseufzt,haben
drehen,gedreht,haben
privatisieren,privatisiert,haben
verstaatlichen,verstaatlicht,haben
siezen,gesiezt,haben
schwitzen,geschwitzt,haben
nähen,genäht,haben
schieben,geschoben,haben
erblassen,erblasst,sein
beamen,gebeamt,haben
rallen,gerallt,haben
implementieren,implementiert,haben
verwunden,verwundet,haben
enervieren,enerviert,haben
rezipieren,rezipiert,haben
berücksichtigen,berücksichtigt,haben
abbezahlen,abbezahlt,haben
abbitten,abgebeten,haben
abblasen,abgeblasen,haben
abblassen,abgeblasst,sein
auslösen,ausgelöst,haben
belabern,belabert,haben
babysitten,gebabysittet,haben
schiften,geschiftet,haben
quatschen,gequatscht,haben
dolmetschen,gedolmetscht,haben
schiefliegen,schiefgelegen,haben
verneinen,verneint,haben
verewigen,verewigt,haben
verarschen,verarscht,haben
melken,gemolken,haben
oktavieren,oktaviert,haben
schielen,geschielt,haben
zusammenfassen,zusammengefasst,haben
wandern,gewandert,sein
artikulieren,artikuliert,haben
schattieren,schattiert,haben
unterschätzen,unterschätzt,haben
einengen,eingeengt,haben
irisieren,irisiert,haben
kollidieren,kollidiert,sein
operieren,operiert,haben
charakterisieren,charakterisiert,haben
abkaufen,abgekauft,haben
überschätzen,überschätzt,haben
hassen,gehasst,haben
kalibrieren,kalibriert,haben
sanktionieren,sanktioniert,haben
löffeln,gelöffelt,haben
auslöffeln,ausgelöffelt,haben
halsen,gehalst,haben
unterminieren,unterminiert,haben
punktieren,punktiert,haben
haschen,gehascht,haben
verkaufen,verkauft,haben
sublimieren,sublimiert,sein
munkeln,gemunkelt,haben
zensieren,zensiert,haben
kaduzieren,kaduziert,haben
ambulieren,ambuliert,haben
vertauschen,vertauscht,haben
tolerieren,toleriert,haben
walten,gewaltet,haben
ausixen,ausgeixt,haben
akkreditieren,akkreditiert,haben
labern,gelabert,haben
leiden,gelitten,haben
forcieren,forciert,haben
präterieren,präteriert,haben
schmelzen,geschmolzen,sein
mümmeln,gemümmelt,haben
thesaurieren,thesauriert,haben
brutzeln,gebrutzelt,haben
telefonieren,telefoniert,haben
klötern,geklötert,haben
zurückkommen,zurückgekommen,sein
wienern,gewienert,haben
hypostasieren,hypostasiert,haben
egalisieren,egalisiert,haben
negieren,negiert,haben
wuppen,gewuppt,haben
bagatellisieren,bagatellisiert,haben
verplempern,verplempert,haben
referenzieren,referenziert,haben
deklamieren,deklamiert,haben
kodifizieren,kodifiziert,haben
dominieren,dominiert,haben
münden,gemündet,haben
headbangen,geheadbangt,haben
posieren,posiert,haben
wackeln,gewackelt,haben
schäkern,geschäkert,haben
monieren,moniert,haben
lupfen,gelupft,haben
konturieren,konturiert,haben
bedürfen,bedurft,haben
albern,gealbert,haben
intonieren,intoniert,haben
derblecken,derbleckt,haben
affizieren,affiziert,haben
überreichen,überreicht,haben
wettern,gewettert,haben
kichern,gekichert,haben
hängen,gehängt,haben
influenzieren,influenziert,haben
blecken,gebleckt,haben
täuschen,getäuscht,haben
korrelieren,korreliert,haben
währen,gewährt,haben
fluten,geflutet,sein
kleben,geklebt,haben
lösen,gelöst,haben
schanghaien,schanghait,haben
strömen,geströmt,sein
ergießen,ergossen,haben
fokussieren,fokussiert,haben
schunkeln,geschunkelt,haben
stauen,gestaut,haben
wallen,gewallt,sein
stocken,gestockt,haben
branden,gebrandet,haben
ziepen,geziept,haben
bergen,geborgen,haben
einfallen,eingefallen,sein
hereinkommen,hereingekommen,sein
quellen,gequollen,sein
jauchzen,gejauchzt,haben
tröpfeln,getröpfelt,haben
verebben,verebbt,sein
belagern,belagert,haben
ermitteln,ermittelt,haben
hehlen,gehehlt,haben
verhehlen,verhehlt,haben
scheiden,geschieden,haben
klauben,geklaubt,haben
anastomosieren,anastomosiert,haben
wahrnehmen,wahrgenommen,haben
erweitern,erweitert,haben
maturieren,maturiert,haben
aufbringen,aufgebracht,haben
starten,gestartet,haben
verholen,verholt,haben
klarieren,klariert,haben
aufmerken,aufgemerkt,haben
zurren,gezurrt,haben
verwirren,verwirrt,haben
kreuzigen,gekreuzigt,haben
stillen,gestillt,haben
versteinern,versteinert,sein
aufrechnen,aufgerechnet,haben
bestärken,bestärkt,haben
planschen,geplanscht,haben
